Name,Commits,Contributor URL,GitHub Username
Rafael Mendonça França,12734,https://contributors.rubyonrails.org/contributors/rafael-mendonca-franca/commits,
Aaron Patterson,6583,https://contributors.rubyonrails.org/contributors/aaron-patterson/commits,
Ryuta Kamizono,5192,https://contributors.rubyonrails.org/contributors/ryuta-kamizono/commits,
David Heinemeier Hansson,4922,https://contributors.rubyonrails.org/contributors/david-heinemeier-hansson/commits,
Jeremy Daer,4421,https://contributors.rubyonrails.org/contributors/jeremy-daer/commits,
Jean Boussier,3295,https://contributors.rubyonrails.org/contributors/jean-boussier/commits,
Xavier Noria,3244,https://contributors.rubyonrails.org/contributors/xavier-noria/commits,
José Valim,3014,https://contributors.rubyonrails.org/contributors/jose-valim/commits,
Eileen M. Uchitelle,2514,https://contributors.rubyonrails.org/contributors/eileen-m-uchitelle/commits,
Jonathan Hefner,2354,https://contributors.rubyonrails.org/contributors/jonathan-hefner/commits,
Yves Senn,2069,https://contributors.rubyonrails.org/contributors/yves-senn/commits,
Carlos Antonio da Silva,2039,https://contributors.rubyonrails.org/contributors/carlos-antonio-da-silva/commits,
Santiago Pastorino,1984,https://contributors.rubyonrails.org/contributors/santiago-pastorino/commits,
Kasper Timm Hansen,1767,https://contributors.rubyonrails.org/contributors/kasper-timm-hansen/commits,
Siân Griffin,1453,https://contributors.rubyonrails.org/contributors/sian-griffin/commits,
Andrew White,1328,https://contributors.rubyonrails.org/contributors/andrew-white/commits,
Matthew Draper,1298,https://contributors.rubyonrails.org/contributors/matthew-draper/commits,
Vijay Dev,1275,https://contributors.rubyonrails.org/contributors/vijay-dev/commits,
Guillermo Iguaran,1273,https://contributors.rubyonrails.org/contributors/guillermo-iguaran/commits,
Josh Peek,1228,https://contributors.rubyonrails.org/contributors/josh-peek/commits,
Jon Leighton,1209,https://contributors.rubyonrails.org/contributors/jon-leighton/commits,
Akira Matsuda,1180,https://contributors.rubyonrails.org/contributors/akira-matsuda/commits,
Yuuji Yaginuma,1151,https://contributors.rubyonrails.org/contributors/yuuji-yaginuma/commits,
zzak,1131,https://contributors.rubyonrails.org/contributors/zzak/commits,
Pratik Naik,1093,https://contributors.rubyonrails.org/contributors/pratik-naik/commits,
Petrik de Heus,905,https://contributors.rubyonrails.org/contributors/petrik-de-heus/commits,
Yehuda Katz,896,https://contributors.rubyonrails.org/contributors/yehuda-katz/commits,
Yasuo Honda,828,https://contributors.rubyonrails.org/contributors/yasuo-honda/commits,
Vipul A M,827,https://contributors.rubyonrails.org/contributors/vipul-a-m/commits,
Hartley McGuire,818,https://contributors.rubyonrails.org/contributors/hartley-mcguire/commits,
George Claghorn,783,https://contributors.rubyonrails.org/contributors/george-claghorn/commits,
Michael Koziarski,775,https://contributors.rubyonrails.org/contributors/michael-koziarski/commits,
John Hawthorn,762,https://contributors.rubyonrails.org/contributors/john-hawthorn/commits,
Arun Agrawal,646,https://contributors.rubyonrails.org/contributors/arun-agrawal/commits,
Emilio Tagua,609,https://contributors.rubyonrails.org/contributors/emilio-tagua/commits,
fatkodima,608,https://contributors.rubyonrails.org/contributors/fatkodima/commits,
Piotr Sarnacki,598,https://contributors.rubyonrails.org/contributors/piotr-sarnacki/commits,
Rick Olson,597,https://contributors.rubyonrails.org/contributors/rick-olson/commits,
Ryan Bigg,567,https://contributors.rubyonrails.org/contributors/ryan-bigg/commits,
Eugene Kenny,563,https://contributors.rubyonrails.org/contributors/eugene-kenny/commits,
Prathamesh Sonpatki,561,https://contributors.rubyonrails.org/contributors/prathamesh-sonpatki/commits,
Carl Lerche,542,https://contributors.rubyonrails.org/contributors/carl-lerche/commits,
Jon Moss,519,https://contributors.rubyonrails.org/contributors/jon-moss/commits,
Gannon McGibbon,515,https://contributors.rubyonrails.org/contributors/gannon-mcgibbon/commits,
Richard Schneeman,490,https://contributors.rubyonrails.org/contributors/richard-schneeman/commits,
Arthur Neves,482,https://contributors.rubyonrails.org/contributors/arthur-neves/commits,
Godfrey Chan,455,https://contributors.rubyonrails.org/contributors/godfrey-chan/commits,
Jamis Buck,418,https://contributors.rubyonrails.org/contributors/jamis-buck/commits,
Francesco Rodríguez,413,https://contributors.rubyonrails.org/contributors/francesco-rodriguez/commits,
Neeraj Singh,382,https://contributors.rubyonrails.org/contributors/neeraj-singh/commits,
bogdanvlviv,377,https://contributors.rubyonrails.org/contributors/bogdanvlviv/commits,
Marcel Molina Jr.,350,https://contributors.rubyonrails.org/contributors/marcel-molina-jr/commits,
Mikel Lindsaar,337,https://contributors.rubyonrails.org/contributors/mikel-lindsaar/commits,
Nicholas Seckar,325,https://contributors.rubyonrails.org/contributors/nicholas-seckar/commits,
Robin Dupret,319,https://contributors.rubyonrails.org/contributors/robin-dupret/commits,
Prem Sichanugrist,308,https://contributors.rubyonrails.org/contributors/prem-sichanugrist/commits,
Claudio Baccigalupo,280,https://contributors.rubyonrails.org/contributors/claudio-baccigalupo/commits,
Toshinori Kajihara,271,https://contributors.rubyonrails.org/contributors/toshinori-kajihara/commits,
Mike Gunderloy,258,https://contributors.rubyonrails.org/contributors/mike-gunderloy/commits,
Steve Klabnik,245,https://contributors.rubyonrails.org/contributors/steve-klabnik/commits,
yui-knk,243,https://contributors.rubyonrails.org/contributors/yui-knk/commits,
Alex Ghiculescu,229,https://contributors.rubyonrails.org/contributors/alex-ghiculescu/commits,
Javan Makhmali,202,https://contributors.rubyonrails.org/contributors/javan-makhmali/commits,
Edouard CHIN,200,https://contributors.rubyonrails.org/contributors/edouard-chin/commits,
Abdelkader Boudih,194,https://contributors.rubyonrails.org/contributors/abdelkader-boudih/commits,
Nick Kallen,192,https://contributors.rubyonrails.org/contributors/nick-kallen/commits,
Frederick Cheung,183,https://contributors.rubyonrails.org/contributors/frederick-cheung/commits,
Geoff Buesing,179,https://contributors.rubyonrails.org/contributors/geoff-buesing/commits,
Sebastian Martinez,161,https://contributors.rubyonrails.org/contributors/sebastian-martinez/commits,
Sergey Nartimov,159,https://contributors.rubyonrails.org/contributors/sergey-nartimov/commits,
Łukasz Strzałkowski,158,https://contributors.rubyonrails.org/contributors/lukasz-strzalkowski/commits,
Adrianna Chang,156,https://contributors.rubyonrails.org/contributors/adrianna-chang/commits,
Yoshiyuki Hirano,154,https://contributors.rubyonrails.org/contributors/yoshiyuki-hirano/commits,
Sean Doyle,153,https://contributors.rubyonrails.org/contributors/sean-doyle/commits,
Bryan Helmkamp,143,https://contributors.rubyonrails.org/contributors/bryan-helmkamp/commits,
Guo Xiang Tan,143,https://contributors.rubyonrails.org/contributors/guo-xiang-tan/commits,
Sam Stephenson,142,https://contributors.rubyonrails.org/contributors/sam-stephenson/commits,
Josh Kalderimis,140,https://contributors.rubyonrails.org/contributors/josh-kalderimis/commits,
Oscar Del Ben,140,https://contributors.rubyonrails.org/contributors/oscar-del-ben/commits,
Tobias Lütke,131,https://contributors.rubyonrails.org/contributors/tobias-lutke/commits,
Bogdan Gusiev,128,https://contributors.rubyonrails.org/contributors/bogdan-gusiev/commits,
Tarmo Tänav,126,https://contributors.rubyonrails.org/contributors/tarmo-tanav/commits,
Alexey Vakhov,123,https://contributors.rubyonrails.org/contributors/alexey-vakhov/commits,
Nikita Vasilevsky,123,https://contributors.rubyonrails.org/contributors/nikita-vasilevsky/commits,
Akhil G Krishnan,118,https://contributors.rubyonrails.org/contributors/akhil-g-krishnan/commits,
Hongli Lai (Phusion),118,https://contributors.rubyonrails.org/contributors/hongli-lai-phusion/commits,
Jorge Manrubia,117,https://contributors.rubyonrails.org/contributors/jorge-manrubia/commits,
utilum,116,https://contributors.rubyonrails.org/contributors/utilum/commits,
Juanito Fatas,112,https://contributors.rubyonrails.org/contributors/juanito-fatas/commits,
Vishnu Atrai,112,https://contributors.rubyonrails.org/contributors/vishnu-atrai/commits,
Abhay Nikam,111,https://contributors.rubyonrails.org/contributors/abhay-nikam/commits,
Ridhwana,111,https://contributors.rubyonrails.org/contributors/ridhwana/commits,
Sven Fuchs,111,https://contributors.rubyonrails.org/contributors/sven-fuchs/commits,
Akshay Vishnoi,109,https://contributors.rubyonrails.org/contributors/akshay-vishnoi/commits,
Koichi ITO,109,https://contributors.rubyonrails.org/contributors/koichi-ito/commits,
Jason Noble,107,https://contributors.rubyonrails.org/contributors/jason-noble/commits,
Étienne Barrié,105,https://contributors.rubyonrails.org/contributors/etienne-barrie/commits,
Thomas Fuchs,104,https://contributors.rubyonrails.org/contributors/thomas-fuchs/commits,
Jaime Iniesta,103,https://contributors.rubyonrails.org/contributors/jaime-iniesta/commits,
Kir Shatrov,102,https://contributors.rubyonrails.org/contributors/kir-shatrov/commits,
Damien Mathieu,101,https://contributors.rubyonrails.org/contributors/damien-mathieu/commits,
Stefan Kaes,99,https://contributors.rubyonrails.org/contributors/stefan-kaes/commits,
Ernie Miller,95,https://contributors.rubyonrails.org/contributors/ernie-miller/commits,
Rizwan Reza,94,https://contributors.rubyonrails.org/contributors/rizwan-reza/commits,
Mehmet Emin İNAÇ,92,https://contributors.rubyonrails.org/contributors/mehmet-emin-inac/commits,
Daniel Colson,90,https://contributors.rubyonrails.org/contributors/daniel-colson/commits,
Earlopain,89,https://contributors.rubyonrails.org/contributors/earlopain/commits,
Genadi Samokovarov,89,https://contributors.rubyonrails.org/contributors/genadi-samokovarov/commits,
Cheah Chu Yeow,88,https://contributors.rubyonrails.org/contributors/cheah-chu-yeow/commits,
John Crepezzi,88,https://contributors.rubyonrails.org/contributors/john-crepezzi/commits,
Mike Dalessio,87,https://contributors.rubyonrails.org/contributors/mike-dalessio/commits,
John J. Wang,85,https://contributors.rubyonrails.org/contributors/john-j-wang/commits,
Aditya Kapoor,84,https://contributors.rubyonrails.org/contributors/aditya-kapoor/commits,
Kuldeep Aggarwal,83,https://contributors.rubyonrails.org/contributors/kuldeep-aggarwal/commits,
Leon Breedt,82,https://contributors.rubyonrails.org/contributors/leon-breedt/commits,
Raimonds Simanovskis,82,https://contributors.rubyonrails.org/contributors/raimonds-simanovskis/commits,
thedarkone,80,https://contributors.rubyonrails.org/contributors/thedarkone/commits,
Gonçalo Silva,78,https://contributors.rubyonrails.org/contributors/goncalo-silva/commits,
Rohit Arondekar,78,https://contributors.rubyonrails.org/contributors/rohit-arondekar/commits,
Aditya Sanghi,76,https://contributors.rubyonrails.org/contributors/aditya-sanghi/commits,
Agis Anastasopoulos,75,https://contributors.rubyonrails.org/contributors/agis-anastasopoulos/commits,
Sam Ruby,73,https://contributors.rubyonrails.org/contributors/sam-ruby/commits,
Vasiliy Ermolovich,73,https://contributors.rubyonrails.org/contributors/vasiliy-ermolovich/commits,
Gaurish Sharma,70,https://contributors.rubyonrails.org/contributors/gaurish-sharma/commits,
Manfred Stienstra,69,https://contributors.rubyonrails.org/contributors/manfred-stienstra/commits,
Roberto Miranda,69,https://contributors.rubyonrails.org/contributors/roberto-miranda/commits,
Wojciech Wnętrzak,69,https://contributors.rubyonrails.org/contributors/wojciech-wnetrzak/commits,
Jon Atack,68,https://contributors.rubyonrails.org/contributors/jon-atack/commits,
Josh Susser,68,https://contributors.rubyonrails.org/contributors/josh-susser/commits,
Mislav Marohnić,67,https://contributors.rubyonrails.org/contributors/mislav-marohnic/commits,
